,adsh,company_name,dyrqt,filed,cik,sic,ticker,country,period,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLoss,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AllowanceForDoubtfulAccountsReceivableCurrent,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalents,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTax,ContractWithCustomerLiability,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityNoncurrent,CostOfGoodsAndServicesSold,DebtInstrumentCarryingAmount,DeferredFinanceCostsNet,DeferredTaxAssets,DeferredTaxLiabilities,DepreciationAndAmortization,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareDiluted,EffectiveIncomeTaxRate,EmployeeRelatedLiabilitiesCurrent,FinanceLeaseAsset,FinanceLeaseInterestExpense,FinanceLeaseLiability,FinanceLeaseRightOfUseAssetAmortization,GeneralAndAdministrativeExpense,Goodwill,GrossProfit,IncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,IntangibleAssets,InterestExpense,InterestPayableCurrent,InventoryNet,LaborAndRelatedExpense,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LongTermDebt,LongTermDebtCurrent,MinorityInterest,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseAsset,OperatingLeaseCost,OperatingLeaseLiability,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeLoss,OtherLiabilitiesCurrent,OtherLiabilitiesNoncurrent,OtherNonoperatingIncomeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenue,ShareBasedCompensation,Short Term Investments,StockIssuedDuringPeriodValue,StockholdersEquity,SubleaseIncome,TotalLiabilities,TreasuryStockShares,TreasuryStockValue,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic,7_before,7_after,difference,per
1675,0001384905-19-000015,"RINGCENTRAL, INC.",201902,2019-08-08 00:00:00,1384905,7374.0,rng,US,2019-06-30,21161000.0,105585000.0,121075000.0,85823000.0,2093000.0,604770000.0,0.0,2473000.0,8949000.0,1012200000.0,735106000.0,567668000.0,0.0,0.0,0.0,8000.0,0.0,242000.0,0.0,103362000.0,0.0,53630000.0,0.0,0.0,0.0,0.0,6500000.0,0.0,0.0,-0.11,0.0,24705000.0,0.0,0.0,0.0,0.0,103590000.0,55613000.0,161522000.0,0.0,116000.0,0.0,39469000.0,5088000.0,0.0,300000.0,0.0,1012200000.0,245598000.0,0.0,0.0,0.0,0.0,-9243000.0,0.0,-1947000.0,168702000.0,-7180000.0,34341000.0,4389000.0,41286000.0,14481000.0,10194000.0,0.0,0.0,9541000.0,3141000.0,0.0,0.0,0.0,0.0,33127000.0,0.0,164372000.0,78549000.0,32632000.0,-251304000.0,215152000.0,25614000.0,0.0,0.0,355567000.0,0.0,656633000.0,0.0,0.0,82339000.0,0.0,136.12799682617188,139.4,3.272003173828125,0.02403622509781215
1676,0001385613-19-000082,"GREENLIGHT CAPITAL RE, LTD.",201902,2019-08-05 00:00:00,1385613,6331.0,glre,KY,2019-06-30,0.0,0.0,0.0,0.0,0.0,501916000.0,0.0,0.0,0.0,1455803000.0,0.0,760842000.0,0.0,0.0,0.0,3679000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,0.0,0.0,0.0,0.0,0.0,7919000.0,0.0,0.0,0.0,-94000.0,0.0,0.0,4386000.0,0.0,0.0,0.0,1455803000.0,0.0,0.0,0.0,0.0,0.0,15314000.0,0.0,0.0,0.0,15220000.0,300000.0,0.0,613000.0,0.0,2622000.0,0.0,0.0,6163000.0,0.0,0.1,50000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4857000.0,140349000.0,0.0,0.0,0.0,500738000.0,0.0,955065000.0,0.0,0.0,36829963.0,36100665.0,8.388000106811523,9.390000152587893,1.0020000457763685,0.11945637017370665
1677,0001386278-19-000048,GREEN DOT CORP,201902,2019-08-09 00:00:00,1386278,6199.0,gdot,US,2019-06-30,35015000.0,28199000.0,0.0,0.0,2025000.0,291958000.0,-917000.0,0.0,760000.0,2502048000.0,1533167000.0,1100615000.0,0.0,0.001,100000000.0,52000.0,0.0,35688000.0,0.0,16072000.0,0.0,0.0,0.0,0.0,10984000.0,12796000.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,87432000.0,0.0,0.0,0.0,9106000.0,0.0,534964000.0,-165000.0,0.0,0.0,48298000.0,2502048000.0,1522483000.0,0.0,0.0,0.0,0.0,34692000.0,0.0,0.0,234363000.0,43963000.0,31251000.0,0.0,42316000.0,0.0,0.0,996000.0,82293000.0,15411000.0,0.0,0.0,0.0,0.0,0.0,49548000.0,0.0,0.0,131710000.0,0.0,627878000.0,278326000.0,8427000.0,243985000.0,0.0,921913000.0,0.0,1580135000.0,0.0,0.0,53811000.0,52588000.0,43.283999252319326,29.05800018310547,-14.225999069213865,-0.3286664660140335
1678,0001387131-19-005708,BANK OF SOUTH CAROLINA CORP,201902,2019-08-05 00:00:00,1007273,6022.0,bksc,US,2019-06-30,0.0,0.0,0.0,0.0,253296.0,47041739.0,0.0,0.0,0.0,442374445.0,0.0,45096491.0,884044.0,0.0,12000000.0,0.0,0.0,2879412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550229.0,0.0,0.0,4568119.0,0.0,0.0,1664436.0,442374445.0,0.0,0.0,0.0,0.0,0.0,1840847.0,0.0,0.0,0.0,2391076.0,7218644.0,0.0,7218644.0,0.0,0.0,1343539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2689314.0,0.0,4413687.0,0.0,18882.0,101110336.0,0.0,49394615.0,0.0,392979830.0,269035.0,2314107.0,5587985.0,5517236.0,18.702427291870123,18.662979507446288,-0.039447784423828125,-0.002109233406349129
1679,0001387131-19-005836,"WESTERN NEW ENGLAND BANCORP, INC.",201902,2019-08-07 00:00:00,1157647,6035.0,wneb,US,2019-06-30,0.0,0.0,0.0,0.0,-7753000.0,165479000.0,0.0,0.0,0.0,2127144000.0,0.0,0.0,1313000.0,0.01,75000000.0,267000.0,0.0,5701000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94000.0,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12487000.0,0.0,0.0,971000.0,0.0,3500000.0,14201000.0,0.0,0.0,6876000.0,2127144000.0,0.0,0.0,175683000.0,0.0,0.0,3257000.0,0.0,0.0,0.0,4228000.0,6744000.0,304000.0,8379000.0,0.0,14481000.0,3360000.0,0.0,27194000.0,0.0,0.01,5000000.0,0.0,0.0,0.0,607000.0,0.0,24265000.0,0.0,78100000.0,0.0,0.0,237128000.0,0.0,229716000.0,0.0,1897428000.0,0.0,0.0,26160169.0,26047187.0,8.896318817138672,8.726595878601074,-0.16972293853759804,-0.019077884013175023
1680,0001387131-19-005872,CPI AEROSTRUCTURES INC,201902,2019-08-08 00:00:00,889348,3728.0,cvu,US,2019-06-30,11540234.0,8399920.0,927672.0,0.0,0.0,71104425.0,209567.0,275000.0,0.0,153624109.0,144916532.0,2752607.0,0.0,0.001,50000000.0,11813.0,0.0,2710457.0,0.0,3488823.0,0.0,18202069.0,0.0,0.0,0.0,2638415.0,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,2709313.0,0.0,4956182.0,0.0,-1039000.0,37354.0,0.0,575412.0,0.0,11956006.0,0.0,153624109.0,46294171.0,0.0,5488929.0,2507060.0,0.0,2710457.0,0.0,0.0,0.0,2246869.0,4626916.0,0.0,5576552.0,0.0,230258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118620.0,0.0,0.0,3362084.0,0.0,27129270.0,23158251.0,0.0,0.0,0.0,98245508.0,0.0,55378601.0,0.0,0.0,11644768.0,11607415.0,7.676000022888184,7.631999969482423,-0.04400005340576208,-0.0057321591029915785
1681,0001387131-19-005935,"THERAPEUTICSMD, INC.",201902,2019-08-09 00:00:00,25743,2834.0,txmd,US,2019-06-30,19499238.0,18383012.0,0.0,686680.0,0.0,621871919.0,0.0,764102.0,24945040.0,246553145.0,216462801.0,182846301.0,0.0,0.001,350000000.0,241222.0,0.0,0.0,0.0,0.0,0.0,1248860.0,0.0,550757.0,0.0,0.0,115059.0,0.0,0.0,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,41387451.0,0.0,4830005.0,0.0,0.0,0.0,4688114.0,4028609.0,0.0,7494440.0,0.0,246553145.0,41875855.0,0.0,194095220.0,0.0,0.0,-55236517.0,0.0,-13599644.0,46466878.0,-41636873.0,3316436.0,564092.0,4602153.0,0.0,3635227.0,0.0,22376617.0,0.0,0.0,0.001,10000000.0,0.0,0.0,7739048.0,0.0,2118817.0,1432137.0,4964368.0,-614019172.0,6078865.0,2637264.0,0.0,0.0,8093969.0,0.0,238459176.0,0.0,0.0,241221840.0,0.0,2.1420000076293944,2.9519999980926515,0.8099999904632571,0.3781512547050383
1682,0001387131-19-005939,CHOICEONE FINANCIAL SERVICES INC,201902,2019-08-09 00:00:00,803164,6022.0,cofs,US,2019-06-30,0.0,0.0,0.0,0.0,2548000.0,0.0,0.0,0.0,0.0,658497000.0,0.0,13687000.0,726000.0,0.0,7000000.0,0.0,0.0,3553000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13728000.0,0.0,0.0,281000.0,12549.0,0.0,5762000.0,0.0,0.0,2870000.0,658497000.0,0.0,0.0,0.0,0.0,0.0,1487000.0,0.0,0.0,0.0,1767000.0,0.0,0.0,0.0,0.0,7555000.0,2067000.0,0.0,3842000.0,0.0,0.0,100000.0,0.0,0.0,0.0,678000.0,0.0,15502000.0,0.0,28359000.0,1260000.0,64000.0,162684000.0,46000.0,85663000.0,0.0,572834000.0,0.0,0.0,3641465.0,3628916.0,28.161024475097648,28.236909103393554,0.07588462829589915,0.0026946685964142647
1683,0001387131-19-005974,TONIX PHARMACEUTICALS HOLDING CORP.,201902,2019-08-12 00:00:00,1430306,2834.0,tnxp,US,2019-06-30,1044000.0,0.0,0.0,0.0,-39000.0,213380000.0,0.0,0.0,0.0,15008000.0,14159000.0,12250000.0,0.0,0.001,150000000.0,6000.0,0.0,-5840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000.0,0.0,0.0,-0.95,0.0,0.0,0.0,0.0,0.0,0.0,2352000.0,0.0,0.0,0.0,0.0,0.0,120000.0,66000.0,0.0,0.0,0.0,15008000.0,2047000.0,0.0,0.0,0.0,0.0,-5840000.0,0.0,0.0,5906000.0,-5906000.0,580000.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5000000.0,0.0,0.0,2009000.0,0.0,0.0,36000.0,3554000.0,-200525000.0,0.0,0.0,0.0,33000.0,12822000.0,0.0,2186000.0,0.0,0.0,6167012.0,0.0,4.6,4.539999961853027,-0.0600000381469723,-0.013043486553689629
1684,0001387131-19-006103,"PIONEER POWER SOLUTIONS, INC.",201902,2019-08-14 00:00:00,1449792,3612.0,ppsi,US,2019-06-30,12074000.0,2935000.0,0.0,1682000.0,-5725000.0,23974000.0,0.0,0.0,0.0,79009000.0,68309000.0,490000.0,0.0,0.001,30000000.0,9000.0,0.0,394000.0,0.0,0.0,0.0,4839000.0,0.0,0.0,0.0,2920000.0,88000.0,0.0,-0.46,-0.46,0.0,0.0,1000000.0,13000.0,729000.0,61000.0,2071000.0,2969000.0,521000.0,0.0,-1442000.0,0.0,186000.0,0.0,0.0,5020000.0,0.0,79009000.0,61058000.0,0.0,0.0,0.0,0.0,-4023000.0,0.0,0.0,2071000.0,-1550000.0,2100000.0,165000.0,1498000.0,600000.0,2826000.0,0.0,0.0,1275000.0,-3807000.0,0.001,5000000.0,0.0,0.0,2204000.0,0.0,2443000.0,761000.0,0.0,-4502000.0,5360000.0,2000.0,0.0,0.0,13756000.0,0.0,65253000.0,0.0,0.0,8726000.0,8726000.0,3.7584059715270985,3.8091875553131103,0.05078158378601083,0.013511468471134179
